iter	Passed	Remaining
0	15	22010
1	34	25180
2	53	25793
3	72	26078
4	92	26632
5	106	25607
6	123	25215
7	139	24945
8	155	24794
9	172	24665
10	190	24769
11	204	24415
12	222	24512
13	237	24227
14	257	24530
15	278	24786
16	294	24691
17	312	24723
18	330	24784
19	346	24668
20	363	24587
21	381	24626
22	399	24659
23	415	24576
24	432	24531
25	447	24385
26	464	24338
27	480	24266
28	503	24537
29	519	24451
30	538	24504
31	556	24533
32	573	24498
33	591	24497
34	609	24485
35	625	24443
36	643	24430
37	661	24434
38	678	24412
39	695	24380
40	712	24340
41	727	24254
42	744	24236
43	760	24173
44	778	24162
45	799	24264
46	817	24255
47	835	24250
48	853	24261
49	869	24214
50	887	24203
51	903	24162
52	921	24139
53	938	24126
54	954	24081
55	974	24110
56	990	24063
57	1008	24057
58	1023	23995
59	1039	23937
60	1056	23907
61	1073	23903
62	1091	23893
63	1107	23851
64	1126	23865
65	1144	23856
66	1163	23874
67	1181	23867
68	1222	24335
69	1247	24444
70	1265	24433
71	1283	24431
72	1302	24417
73	1319	24389
74	1338	24403
75	1358	24412
76	1376	24398
77	1393	24371
78	1411	24346
79	1428	24325
80	1446	24308
81	1461	24232
82	1478	24204
83	1494	24159
84	1512	24146
85	1530	24129
86	1548	24116
87	1564	24073
88	1581	24040
89	1598	24010
90	1617	24015
91	1634	23986
92	1653	23988
93	1670	23949
94	1687	23931
95	1706	23920
96	1722	23884
97	1740	23872
98	1756	23832
99	1775	23833
100	1792	23805
101	1806	23735
102	1823	23711
103	1841	23686
104	1863	23723
105	1881	23718
106	1899	23697
107	1916	23666
108	1934	23652
109	1952	23641
110	1970	23625
111	1994	23685
112	2014	23688
113	2032	23672
114	2050	23663
115	2067	23637
116	2084	23607
117	2101	23578
118	2117	23542
119	2134	23511
120	2149	23467
121	2166	23439
122	2183	23417
123	2205	23444
124	2224	23442
125	2242	23421
126	2260	23400
127	2277	23378
128	2296	23371
129	2314	23357
130	2331	23332
131	2349	23312
132	2368	23307
133	2388	23310
134	2406	23295
135	2423	23268
136	2440	23247
137	2459	23236
138	2476	23216
139	2493	23187
140	2509	23153
141	2525	23124
142	2542	23095
143	2562	23095
144	2578	23062
145	2595	23041
146	2613	23021
147	2630	23002
148	2649	22991
149	2665	22958
150	2683	22941
151	2699	22910
152	2717	22897
153	2736	22885
154	2754	22874
155	2771	22848
156	2788	22824
157	2805	22797
158	2821	22767
159	2837	22735
160	2854	22710
161	2870	22682
162	2890	22683
163	2909	22670
164	2928	22662
165	2945	22642
166	2963	22625
167	2981	22607
168	2998	22584
169	3014	22557
170	3033	22546
171	3048	22512
172	3066	22491
173	3082	22461
174	3101	22451
175	3121	22453
176	3140	22441
177	3156	22413
178	3172	22386
179	3190	22368
180	3207	22346
181	3224	22326
182	3241	22301
183	3259	22287
184	3277	22268
185	3294	22249
186	3317	22261
187	3336	22252
188	3353	22234
189	3370	22212
190	3386	22183
191	3403	22159
192	3420	22136
193	3437	22115
194	3455	22098
195	3473	22080
196	3491	22063
197	3509	22050
198	3529	22044
199	3547	22029
200	3566	22019
201	3583	21994
202	3600	21974
203	3619	21965
204	3634	21930
205	3652	21914
206	3669	21890
207	3687	21874
208	3704	21855
209	3718	21815
210	3737	21805
211	3753	21779
212	3769	21748
213	3788	21741
214	3808	21735
215	3827	21727
216	3846	21711
217	3864	21700
218	3882	21680
219	3898	21655
220	3914	21625
221	3931	21604
222	3948	21585
223	3965	21562
224	3981	21536
225	3996	21502
226	4014	21489
227	4033	21475
228	4051	21462
229	4070	21450
230	4087	21427
231	4104	21408
232	4121	21384
233	4137	21360
234	4155	21345
235	4173	21328
236	4191	21310
237	4208	21291
238	4225	21268
239	4244	21255
240	4261	21234
241	4276	21206
242	4293	21183
243	4306	21145
244	4323	21122
245	4341	21105
246	4357	21082
247	4376	21071
248	4394	21052
249	4412	21039
250	4430	21023
251	4448	21005
252	4464	20980
253	4481	20961
254	4499	20946
255	4517	20927
256	4534	20910
257	4552	20892
258	4570	20875
259	4585	20844
260	4602	20825
261	4619	20803
262	4638	20794
263	4658	20787
264	4676	20772
265	4693	20748
266	4711	20733
267	4728	20714
268	4746	20695
269	4762	20674
